Code,Name,Lat,Lon,region1,region2
101,101Manhattan,40.708702,-74.010391,Americas,Northern America
102,102Manhattan,40.731781,-74.006683,Americas,Northern America
103,103Manhattan,40.719303,-73.994026,Americas,Northern America
104,104Manhattan,40.743977,-73.995804,Americas,Northern America
105,105Manhattan,40.757977,-73.978165,Americas,Northern America
106,106Manhattan,40.748528,-73.97625,Americas,Northern America
107,107Manhattan,40.786983,-73.977936,Americas,Northern America
108,108Manhattan,40.764252,-73.966743,Americas,Northern America
109,109Manhattan,40.806396,-73.959908,Americas,Northern America
110,110Manhattan,40.809158,-73.944519,Americas,Northern America
111,111Manhattan,40.786156,-73.945915,Americas,Northern America
112,112Manhattan,40.843525,-73.941628,Americas,Northern America
164,164Manhattan,40.773125,-73.96666,Americas,Northern America
