Code,Name,Lat,Lon,region1,region2
101,101Manhattan,40.708702,-74.010391,Americas,Northern America
102,102Manhattan,40.731781,-74.006683,Americas,Northern America
103,103Manhattan,40.719303,-73.994026,Americas,Northern America
104,104Manhattan,40.743977,-73.995804,Americas,Northern America
105,105Manhattan,40.757977,-73.978165,Americas,Northern America
106,106Manhattan,40.748528,-73.97625,Americas,Northern America
107,107Manhattan,40.786983,-73.977936,Americas,Northern America
108,108Manhattan,40.764252,-73.966743,Americas,Northern America
109,109Manhattan,40.806396,-73.959908,Americas,Northern America
110,110Manhattan,40.809158,-73.944519,Americas,Northern America
111,111Manhattan,40.786156,-73.945915,Americas,Northern America
112,112Manhattan,40.843525,-73.941628,Americas,Northern America
164,164Manhattan,40.773125,-73.96666,Americas,Northern America
201,201Bronx,40.820271,-73.921776,Americas,Northern America
204,204Bronx,40.843407,-73.91288,Americas,Northern America
205,205Bronx,40.850094,-73.910599,Americas,Northern America
210,210Bronx,40.83717,-73.850418,Americas,Northern America
212,212Bronx,40.889069,-73.861534,Americas,Northern America
301,301Brooklyn,40.711113,-73.9655,Americas,Northern America
302,302Brooklyn,40.689701,-73.992111,Americas,Northern America
303,303Brooklyn,40.689713,-73.951439,Americas,Northern America
304,304Brooklyn,40.703655,-73.931435,Americas,Northern America
306,306Brooklyn,40.682724,-73.976318,Americas,Northern America
307,307Brooklyn,40.665047,-73.99308,Americas,Northern America
308,308Brooklyn,40.674728,-73.924232,Americas,Northern America
309,309Brooklyn,40.661404,-73.961105,Americas,Northern America
310,310Brooklyn,40.635536,-74.019867,Americas,Northern America
312,312Brooklyn,40.63678,-73.972771,Americas,Northern America
314,314Brooklyn,40.63438,-73.967316,Americas,Northern America
315,315Brooklyn,40.59893,-73.954796,Americas,Northern America
316,316Brooklyn,40.661648,-73.915253,Americas,Northern America
318,318Brooklyn,40.630596,-73.935867,Americas,Northern America
355,355Brooklyn,40.672211,-73.968925,Americas,Northern America
401,401Queens,40.761772,-73.92482,Americas,Northern America
402,402Queens,40.742641,-73.9123,Americas,Northern America
403,403Queens,40.747707,-73.893707,Americas,Northern America
404,404Queens,40.747471,-73.884262,Americas,Northern America
405,405Queens,40.726418,-73.904716,Americas,Northern America
406,406Queens,40.727085,-73.853409,Americas,Northern America
407,407Queens,40.763016,-73.81144,Americas,Northern America
408,408Queens,40.712196,-73.786179,Americas,Northern America
409,409Queens,40.713055,-73.827553,Americas,Northern America
410,410Queens,40.656399,-73.83905,Americas,Northern America
412,412Queens,40.666866,-73.799751,Americas,Northern America
480,480Queens,40.769142,-73.862709,Americas,Northern America
481,481Queens,40.753277,-73.852173,Americas,Northern America
483,483Queens,40.648766,-73.78331,Americas,Northern America
